ticket_id,inquiry_text,label_category,label_priority,label_department,impact_scope,requester_role,channel,template_group,data_origin
TKT-0039,承認ワークフローで部署内の複数名に影響が出ています,勤怠,Middle,総務,個人,管理者,Slack,勤怠-Middle-09,synthetic_train
TKT-0040,承認ワークフローについて問い合わせます。現在、承認ワークフローで部署内の複数名に影響が出ています,勤怠,Middle,総務,個人,管理者,Slack,勤怠-Middle-09,synthetic_train
TKT-0041,出勤打刻が全社で利用できず業務が止まっています,勤怠,High,総務,全社,社員,電話,勤怠-High-00,synthetic_train
TKT-0042,出勤打刻について問い合わせます。現在、出勤打刻が全社で利用できず業務が止まっています,勤怠,High,総務,全社,社員,電話,勤怠-High-00,synthetic_train
TKT-0043,退勤打刻の締め処理が完了せず期限に間に合いません,勤怠,High,総務,複数部署,管理者,メール,勤怠-High-01,synthetic_train
TKT-0044,退勤打刻について問い合わせます。現在、退勤打刻の締め処理が完了せず期限に間に合いません,勤怠,High,総務,複数部署,管理者,メール,勤怠-High-01,synthetic_train
TKT-0045,休憩時間の障害で複数部署の作業が停止しています,勤怠,High,総務,全社,社員,Slack,勤怠-High-02,synthetic_train
TKT-0046,休憩時間について問い合わせます。現在、休憩時間の障害で複数部署の作業が停止しています,勤怠,High,総務,全社,社員,Slack,勤怠-High-02,synthetic_train
TKT-0047,有給申請で重大なセキュリティリスクが発生しています,勤怠,High,総務,全社,管理者,電話,勤怠-High-03,synthetic_train
TKT-0048,有給申請について問い合わせます。現在、有給申請で重大なセキュリティリスクが発生しています,勤怠,High,総務,全社,管理者,電話,勤怠-High-03,synthetic_train
TKT-0049,残業申請の夜間処理が失敗し本日の業務に影響しています,勤怠,High,総務,複数部署,社員,メール,勤怠-High-04,synthetic_train
TKT-0050,残業申請について問い合わせます。現在、残業申請の夜間処理が失敗し本日の業務に影響しています,勤怠,High,総務,複数部署,社員,メール,勤怠-High-04,synthetic_train
TKT-0051,勤務表の重要データが欠落しています,勤怠,High,総務,全社,管理者,Slack,勤怠-High-05,synthetic_train
TKT-0052,勤務表について問い合わせます。現在、勤務表の重要データが欠落しています,勤怠,High,総務,全社,管理者,Slack,勤怠-High-05,synthetic_train
TKT-0053,勤怠集計が大量に失敗して顧客対応に影響しています,勤怠,High,総務,全社,社員,電話,勤怠-High-06,synthetic_train
TKT-0054,勤怠集計について問い合わせます。現在、勤怠集計が大量に失敗して顧客対応に影響しています,勤怠,High,総務,全社,社員,電話,勤怠-High-06,synthetic_train
TKT-0055,休日出勤申請で業務継続に必要な処理を実行できません,勤怠,High,総務,複数部署,管理者,メール,勤怠-High-07,synthetic_train
TKT-0056,休日出勤申請について問い合わせます。現在、休日出勤申請で業務継続に必要な処理を実行できません,勤怠,High,総務,複数部署,管理者,メール,勤怠-High-07,synthetic_train
TKT-0057,リモート勤務区分の不具合が本番環境で継続発生しています,勤怠,High,総務,全社,社員,Slack,勤怠-High-08,synthetic_train
TKT-0058,リモート勤務区分について問い合わせます。現在、リモート勤務区分の不具合が本番環境で継続発生しています,勤怠,High,総務,全社,社員,Slack,勤怠-High-08,synthetic_train
TKT-0059,承認ワークフローを本日中に復旧しないと月次処理に影響します,勤怠,High,総務,全社,管理者,電話,勤怠-High-09,synthetic_train
TKT-0060,承認ワークフローについて問い合わせます。現在、承認ワークフローを本日中に復旧しないと月次処理に影響します,勤怠,High,総務,全社,管理者,電話,勤怠-High-09,synthetic_train
TKT-0061,請求書PDFの操作方法を確認したいです,請求,Low,経理,個人,経理担当,問い合わせフォーム,請求-Low-00,synthetic_train
TKT-0062,請求書PDFについて問い合わせます。現在、請求書PDFの操作方法を確認したいです,請求,Low,経理,個人,経理担当,問い合わせフォーム,請求-Low-00,synthetic_train
TKT-0063,月末請求の入力項目の意味を教えてください,請求,Low,経理,個人,管理者,Slack,請求-Low-01,synthetic_train
TKT-0064,月末請求について問い合わせます。現在、月末請求の入力項目の意味を教えてください,請求,Low,経理,個人,管理者,Slack,請求-Low-01,synthetic_train
TKT-0065,請求金額の表示名を変更したいです,請求,Low,経理,部署,経理担当,メール,請求-Low-02,synthetic_train
TKT-0066,請求金額について問い合わせます。現在、請求金額の表示名を変更したいです,請求,Low,経理,部署,経理担当,メール,請求-Low-02,synthetic_train
TKT-0067,税率計算の設定手順を知りたいです,請求,Low,経理,個人,管理者,問い合わせフォーム,請求-Low-03,synthetic_train
TKT-0068,税率計算について問い合わせます。現在、税率計算の設定手順を知りたいです,請求,Low,経理,個人,管理者,問い合わせフォーム,請求-Low-03,synthetic_train
TKT-0069,請求書番号の過去データを確認したいです,請求,Low,経理,個人,経理担当,Slack,請求-Low-04,synthetic_train
TKT-0070,請求書番号について問い合わせます。現在、請求書番号の過去データを確認したいです,請求,Low,経理,個人,経理担当,Slack,請求-Low-04,synthetic_train
TKT-0071,取引先マスタの通知設定を変更したいです,請求,Low,経理,部署,管理者,メール,請求-Low-05,synthetic_train
TKT-0072,取引先マスタについて問い合わせます。現在、取引先マスタの通知設定を変更したいです,請求,Low,経理,部署,管理者,メール,請求-Low-05,synthetic_train
TKT-0073,入金ステータスの画面の場所が分かりません,請求,Low,経理,個人,経理担当,問い合わせフォーム,請求-Low-06,synthetic_train
TKT-0074,入金ステータスについて問い合わせます。現在、入金ステータスの画面の場所が分かりません,請求,Low,経理,個人,経理担当,問い合わせフォーム,請求-Low-06,synthetic_train
TKT-0075,一括出力の説明文を修正したいです,請求,Low,経理,個人,管理者,Slack,請求-Low-07,synthetic_train
TKT-0076,一括出力について問い合わせます。現在、一括出力の説明文を修正したいです,請求,Low,経理,個人,管理者,Slack,請求-Low-07,synthetic_train
TKT-0077,送付先メールの利用方法を共有してください,請求,Low,経理,部署,経理担当,メール,請求-Low-08,synthetic_train
TKT-0078,送付先メールについて問い合わせます。現在、送付先メールの利用方法を共有してください,請求,Low,経理,部署,経理担当,メール,請求-Low-08,synthetic_train
TKT-0079,会社印プレビューについて急ぎではない質問があります,請求,Low,経理,個人,管理者,問い合わせフォーム,請求-Low-09,synthetic_train
TKT-0080,会社印プレビューについて問い合わせます。現在、会社印プレビューについて急ぎではない質問があります,請求,Low,経理,個人,管理者,問い合わせフォーム,請求-Low-09,synthetic_train
TKT-0081,請求書PDFが一覧に反映されません,請求,Middle,経理,個人,経理担当,Slack,請求-Middle-00,synthetic_train
TKT-0082,請求書PDFについて問い合わせます。現在、請求書PDFが一覧に反映されません,請求,Middle,経理,個人,経理担当,Slack,請求-Middle-00,synthetic_train
TKT-0083,月末請求を保存するとエラーになります,請求,Middle,経理,部署,管理者,問い合わせフォーム,請求-Middle-01,synthetic_train
TKT-0084,月末請求について問い合わせます。現在、月末請求を保存するとエラーになります,請求,Middle,経理,部署,管理者,問い合わせフォーム,請求-Middle-01,synthetic_train
TKT-0085,請求金額の検索結果が表示されません,請求,Middle,経理,複数部署,経理担当,メール,請求-Middle-02,synthetic_train
TKT-0086,請求金額について問い合わせます。現在、請求金額の検索結果が表示されません,請求,Middle,経理,複数部署,経理担当,メール,請求-Middle-02,synthetic_train
TKT-0087,税率計算の通知が担当者へ届きません,請求,Middle,経理,個人,管理者,Slack,請求-Middle-03,synthetic_train
TKT-0088,税率計算について問い合わせます。現在、税率計算の通知が担当者へ届きません,請求,Middle,経理,個人,管理者,Slack,請求-Middle-03,synthetic_train
TKT-0089,請求書番号を開くと白い画面になります,請求,Middle,経理,部署,経理担当,問い合わせフォーム,請求-Middle-04,synthetic_train
TKT-0090,請求書番号について問い合わせます。現在、請求書番号を開くと白い画面になります,請求,Middle,経理,部署,経理担当,問い合わせフォーム,請求-Middle-04,synthetic_train
TKT-0091,取引先マスタの処理が遅く業務に支障があります,請求,Middle,経理,複数部署,管理者,メール,請求-Middle-05,synthetic_train
TKT-0092,取引先マスタについて問い合わせます。現在、取引先マスタの処理が遅く業務に支障があります,請求,Middle,経理,複数部署,管理者,メール,請求-Middle-05,synthetic_train
TKT-0093,入金ステータスの一部データが更新されていません,請求,Middle,経理,個人,経理担当,Slack,請求-Middle-06,synthetic_train
TKT-0094,入金ステータスについて問い合わせます。現在、入金ステータスの一部データが更新されていません,請求,Middle,経理,個人,経理担当,Slack,請求-Middle-06,synthetic_train
TKT-0095,一括出力の状態を変更できません,請求,Middle,経理,部署,管理者,問い合わせフォーム,請求-Middle-07,synthetic_train
TKT-0096,一括出力について問い合わせます。現在、一括出力の状態を変更できません,請求,Middle,経理,部署,管理者,問い合わせフォーム,請求-Middle-07,synthetic_train
TKT-0097,送付先メールで特定条件だけ処理が失敗します,請求,Middle,経理,複数部署,経理担当,メール,請求-Middle-08,synthetic_train
TKT-0098,送付先メールについて問い合わせます。現在、送付先メールで特定条件だけ処理が失敗します,請求,Middle,経理,複数部署,経理担当,メール,請求-Middle-08,synthetic_train
TKT-0099,会社印プレビューで部署内の複数名に影響が出ています,請求,Middle,経理,個人,管理者,Slack,請求-Middle-09,synthetic_train
TKT-0100,会社印プレビューについて問い合わせます。現在、会社印プレビューで部署内の複数名に影響が出ています,請求,Middle,経理,個人,管理者,Slack,請求-Middle-09,synthetic_train
TKT-0101,請求書PDFが全社で利用できず業務が止まっています,請求,High,経理,全社,経理担当,電話,請求-High-00,synthetic_train
TKT-0102,請求書PDFについて問い合わせます。現在、請求書PDFが全社で利用できず業務が止まっています,請求,High,経理,全社,経理担当,電話,請求-High-00,synthetic_train
TKT-0103,月末請求の締め処理が完了せず期限に間に合いません,請求,High,経理,複数部署,管理者,メール,請求-High-01,synthetic_train
TKT-0104,月末請求について問い合わせます。現在、月末請求の締め処理が完了せず期限に間に合いません,請求,High,経理,複数部署,管理者,メール,請求-High-01,synthetic_train
TKT-0105,請求金額の障害で複数部署の作業が停止しています,請求,High,経理,全社,経理担当,Slack,請求-High-02,synthetic_train
TKT-0106,請求金額について問い合わせます。現在、請求金額の障害で複数部署の作業が停止しています,請求,High,経理,全社,経理担当,Slack,請求-High-02,synthetic_train
TKT-0107,税率計算で重大なセキュリティリスクが発生しています,請求,High,経理,全社,管理者,電話,請求-High-03,synthetic_train
TKT-0108,税率計算について問い合わせます。現在、税率計算で重大なセキュリティリスクが発生しています,請求,High,経理,全社,管理者,電話,請求-High-03,synthetic_train
TKT-0109,請求書番号の夜間処理が失敗し本日の業務に影響しています,請求,High,経理,複数部署,経理担当,メール,請求-High-04,synthetic_train
TKT-0110,請求書番号について問い合わせます。現在、請求書番号の夜間処理が失敗し本日の業務に影響しています,請求,High,経理,複数部署,経理担当,メール,請求-High-04,synthetic_train
TKT-0111,取引先マスタの重要データが欠落しています,請求,High,経理,全社,管理者,Slack,請求-High-05,synthetic_train
TKT-0112,取引先マスタについて問い合わせます。現在、取引先マスタの重要データが欠落しています,請求,High,経理,全社,管理者,Slack,請求-High-05,synthetic_train
TKT-0113,入金ステータスが大量に失敗して顧客対応に影響しています,請求,High,経理,全社,経理担当,電話,請求-High-06,synthetic_train
TKT-0114,入金ステータスについて問い合わせます。現在、入金ステータスが大量に失敗して顧客対応に影響しています,請求,High,経理,全社,経理担当,電話,請求-High-06,synthetic_train
TKT-0115,一括出力で業務継続に必要な処理を実行できません,請求,High,経理,複数部署,管理者,メール,請求-High-07,synthetic_train
TKT-0116,一括出力について問い合わせます。現在、一括出力で業務継続に必要な処理を実行できません,請求,High,経理,複数部署,管理者,メール,請求-High-07,synthetic_train
TKT-0117,送付先メールの不具合が本番環境で継続発生しています,請求,High,経理,全社,経理担当,Slack,請求-High-08,synthetic_train
TKT-0118,送付先メールについて問い合わせます。現在、送付先メールの不具合が本番環境で継続発生しています,請求,High,経理,全社,経理担当,Slack,請求-High-08,synthetic_train
TKT-0119,会社印プレビューを本日中に復旧しないと月次処理に影響します,請求,High,経理,全社,管理者,電話,請求-High-09,synthetic_train
TKT-0120,会社印プレビューについて問い合わせます。現在、会社印プレビューを本日中に復旧しないと月次処理に影響します,請求,High,経理,全社,管理者,電話,請求-High-09,synthetic_train
TKT-0121,管理画面の操作方法を確認したいです,権限,Low,情シス,個人,管理者,問い合わせフォーム,権限-Low-00,synthetic_train
TKT-0122,管理画面について問い合わせます。現在、管理画面の操作方法を確認したいです,権限,Low,情シス,個人,管理者,問い合わせフォーム,権限-Low-00,synthetic_train
TKT-0123,ユーザー追加の入力項目の意味を教えてください,権限,Low,情シス,個人,社員,Slack,権限-Low-01,synthetic_train
TKT-0124,ユーザー追加について問い合わせます。現在、ユーザー追加の入力項目の意味を教えてください,権限,Low,情シス,個人,社員,Slack,権限-Low-01,synthetic_train
TKT-0125,閲覧権限の表示名を変更したいです,権限,Low,情シス,部署,管理者,メール,権限-Low-02,synthetic_train
TKT-0126,閲覧権限について問い合わせます。現在、閲覧権限の表示名を変更したいです,権限,Low,情シス,部署,管理者,メール,権限-Low-02,synthetic_train
TKT-0127,承認者権限の設定手順を知りたいです,権限,Low,情シス,個人,社員,問い合わせフォーム,権限-Low-03,synthetic_train
TKT-0128,承認者権限について問い合わせます。現在、承認者権限の設定手順を知りたいです,権限,Low,情シス,個人,社員,問い合わせフォーム,権限-Low-03,synthetic_train
TKT-0129,権限グループの過去データを確認したいです,権限,Low,情シス,個人,管理者,Slack,権限-Low-04,synthetic_train
TKT-0130,権限グループについて問い合わせます。現在、権限グループの過去データを確認したいです,権限,Low,情シス,個人,管理者,Slack,権限-Low-04,synthetic_train
TKT-0131,外部パートナー権限の通知設定を変更したいです,権限,Low,情シス,部署,社員,メール,権限-Low-05,synthetic_train
TKT-0132,外部パートナー権限について問い合わせます。現在、外部パートナー権限の通知設定を変更したいです,権限,Low,情シス,部署,社員,メール,権限-Low-05,synthetic_train
TKT-0133,部署異動後の権限の画面の場所が分かりません,権限,Low,情シス,個人,管理者,問い合わせフォーム,権限-Low-06,synthetic_train
TKT-0134,部署異動後の権限について問い合わせます。現在、部署異動後の権限の画面の場所が分かりません,権限,Low,情シス,個人,管理者,問い合わせフォーム,権限-Low-06,synthetic_train
TKT-0135,プロジェクトフォルダの説明文を修正したいです,権限,Low,情シス,個人,社員,Slack,権限-Low-07,synthetic_train
TKT-0136,プロジェクトフォルダについて問い合わせます。現在、プロジェクトフォルダの説明文を修正したいです,権限,Low,情シス,個人,社員,Slack,権限-Low-07,synthetic_train
TKT-0137,経理メニューの利用方法を共有してください,権限,Low,情シス,部署,管理者,メール,権限-Low-08,synthetic_train
TKT-0138,経理メニューについて問い合わせます。現在、経理メニューの利用方法を共有してください,権限,Low,情シス,部署,管理者,メール,権限-Low-08,synthetic_train
TKT-0139,権限変更履歴について急ぎではない質問があります,権限,Low,情シス,個人,社員,問い合わせフォーム,権限-Low-09,synthetic_train
TKT-0140,権限変更履歴について問い合わせます。現在、権限変更履歴について急ぎではない質問があります,権限,Low,情シス,個人,社員,問い合わせフォーム,権限-Low-09,synthetic_train
TKT-0141,管理画面が一覧に反映されません,権限,Middle,情シス,個人,管理者,Slack,権限-Middle-00,synthetic_train
TKT-0142,管理画面について問い合わせます。現在、管理画面が一覧に反映されません,権限,Middle,情シス,個人,管理者,Slack,権限-Middle-00,synthetic_train
TKT-0143,ユーザー追加を保存するとエラーになります,権限,Middle,情シス,部署,社員,問い合わせフォーム,権限-Middle-01,synthetic_train
TKT-0144,ユーザー追加について問い合わせます。現在、ユーザー追加を保存するとエラーになります,権限,Middle,情シス,部署,社員,問い合わせフォーム,権限-Middle-01,synthetic_train
TKT-0145,閲覧権限の検索結果が表示されません,権限,Middle,情シス,複数部署,管理者,メール,権限-Middle-02,synthetic_train
TKT-0146,閲覧権限について問い合わせます。現在、閲覧権限の検索結果が表示されません,権限,Middle,情シス,複数部署,管理者,メール,権限-Middle-02,synthetic_train
TKT-0147,承認者権限の通知が担当者へ届きません,権限,Middle,情シス,個人,社員,Slack,権限-Middle-03,synthetic_train
TKT-0148,承認者権限について問い合わせます。現在、承認者権限の通知が担当者へ届きません,権限,Middle,情シス,個人,社員,Slack,権限-Middle-03,synthetic_train
TKT-0149,権限グループを開くと白い画面になります,権限,Middle,情シス,部署,管理者,問い合わせフォーム,権限-Middle-04,synthetic_train
TKT-0150,権限グループについて問い合わせます。現在、権限グループを開くと白い画面になります,権限,Middle,情シス,部署,管理者,問い合わせフォーム,権限-Middle-04,synthetic_train
TKT-0151,外部パートナー権限の処理が遅く業務に支障があります,権限,Middle,情シス,複数部署,社員,メール,権限-Middle-05,synthetic_train
TKT-0152,外部パートナー権限について問い合わせます。現在、外部パートナー権限の処理が遅く業務に支障があります,権限,Middle,情シス,複数部署,社員,メール,権限-Middle-05,synthetic_train
TKT-0153,部署異動後の権限の一部データが更新されていません,権限,Middle,情シス,個人,管理者,Slack,権限-Middle-06,synthetic_train
TKT-0154,部署異動後の権限について問い合わせます。現在、部署異動後の権限の一部データが更新されていません,権限,Middle,情シス,個人,管理者,Slack,権限-Middle-06,synthetic_train
TKT-0155,プロジェクトフォルダの状態を変更できません,権限,Middle,情シス,部署,社員,問い合わせフォーム,権限-Middle-07,synthetic_train
TKT-0156,プロジェクトフォルダについて問い合わせます。現在、プロジェクトフォルダの状態を変更できません,権限,Middle,情シス,部署,社員,問い合わせフォーム,権限-Middle-07,synthetic_train
TKT-0157,経理メニューで特定条件だけ処理が失敗します,権限,Middle,情シス,複数部署,管理者,メール,権限-Middle-08,synthetic_train
TKT-0158,経理メニューについて問い合わせます。現在、経理メニューで特定条件だけ処理が失敗します,権限,Middle,情シス,複数部署,管理者,メール,権限-Middle-08,synthetic_train
TKT-0159,権限変更履歴で部署内の複数名に影響が出ています,権限,Middle,情シス,個人,社員,Slack,権限-Middle-09,synthetic_train
TKT-0160,権限変更履歴について問い合わせます。現在、権限変更履歴で部署内の複数名に影響が出ています,権限,Middle,情シス,個人,社員,Slack,権限-Middle-09,synthetic_train
TKT-0161,管理画面が全社で利用できず業務が止まっています,権限,High,情シス,全社,管理者,電話,権限-High-00,synthetic_train
TKT-0162,管理画面について問い合わせます。現在、管理画面が全社で利用できず業務が止まっています,権限,High,情シス,全社,管理者,電話,権限-High-00,synthetic_train
TKT-0163,ユーザー追加の締め処理が完了せず期限に間に合いません,権限,High,情シス,複数部署,社員,メール,権限-High-01,synthetic_train
TKT-0164,ユーザー追加について問い合わせます。現在、ユーザー追加の締め処理が完了せず期限に間に合いません,権限,High,情シス,複数部署,社員,メール,権限-High-01,synthetic_train
TKT-0165,閲覧権限の障害で複数部署の作業が停止しています,権限,High,情シス,全社,管理者,Slack,権限-High-02,synthetic_train
TKT-0166,閲覧権限について問い合わせます。現在、閲覧権限の障害で複数部署の作業が停止しています,権限,High,情シス,全社,管理者,Slack,権限-High-02,synthetic_train
TKT-0167,承認者権限で重大なセキュリティリスクが発生しています,権限,High,情シス,全社,社員,電話,権限-High-03,synthetic_train
TKT-0168,承認者権限について問い合わせます。現在、承認者権限で重大なセキュリティリスクが発生しています,権限,High,情シス,全社,社員,電話,権限-High-03,synthetic_train
TKT-0169,権限グループの夜間処理が失敗し本日の業務に影響しています,権限,High,情シス,複数部署,管理者,メール,権限-High-04,synthetic_train
TKT-0170,権限グループについて問い合わせます。現在、権限グループの夜間処理が失敗し本日の業務に影響しています,権限,High,情シス,複数部署,管理者,メール,権限-High-04,synthetic_train
TKT-0171,外部パートナー権限の重要データが欠落しています,権限,High,情シス,全社,社員,Slack,権限-High-05,synthetic_train
TKT-0172,外部パートナー権限について問い合わせます。現在、外部パートナー権限の重要データが欠落しています,権限,High,情シス,全社,社員,Slack,権限-High-05,synthetic_train
TKT-0173,部署異動後の権限が大量に失敗して顧客対応に影響しています,権限,High,情シス,全社,管理者,電話,権限-High-06,synthetic_train
TKT-0174,部署異動後の権限について問い合わせます。現在、部署異動後の権限が大量に失敗して顧客対応に影響しています,権限,High,情シス,全社,管理者,電話,権限-High-06,synthetic_train
TKT-0175,プロジェクトフォルダで業務継続に必要な処理を実行できません,権限,High,情シス,複数部署,社員,メール,権限-High-07,synthetic_train
TKT-0176,プロジェクトフォルダについて問い合わせます。現在、プロジェクトフォルダで業務継続に必要な処理を実行できません,権限,High,情シス,複数部署,社員,メール,権限-High-07,synthetic_train
TKT-0177,経理メニューの不具合が本番環境で継続発生しています,権限,High,情シス,全社,管理者,Slack,権限-High-08,synthetic_train
TKT-0178,経理メニューについて問い合わせます。現在、経理メニューの不具合が本番環境で継続発生しています,権限,High,情シス,全社,管理者,Slack,権限-High-08,synthetic_train
TKT-0179,権限変更履歴を本日中に復旧しないと月次処理に影響します,権限,High,情シス,全社,社員,電話,権限-High-09,synthetic_train
TKT-0180,権限変更履歴について問い合わせます。現在、権限変更履歴を本日中に復旧しないと月次処理に影響します,権限,High,情シス,全社,社員,電話,権限-High-09,synthetic_train
TKT-0181,受注管理システムの操作方法を確認したいです,システム障害,Low,開発,個人,社員,問い合わせフォーム,システム障害-Low-00,synthetic_train
TKT-0182,受注管理システムについて問い合わせます。現在、受注管理システムの操作方法を確認したいです,システム障害,Low,開発,個人,社員,問い合わせフォーム,システム障害-Low-00,synthetic_train
TKT-0183,検索画面の入力項目の意味を教えてください,システム障害,Low,開発,個人,管理者,Slack,システム障害-Low-01,synthetic_train
TKT-0184,検索画面について問い合わせます。現在、検索画面の入力項目の意味を教えてください,システム障害,Low,開発,個人,管理者,Slack,システム障害-Low-01,synthetic_train
TKT-0185,ダッシュボードの表示名を変更したいです,システム障害,Low,開発,部署,開発者,メール,システム障害-Low-02,synthetic_train
TKT-0186,ダッシュボードについて問い合わせます。現在、ダッシュボードの表示名を変更したいです,システム障害,Low,開発,部署,開発者,メール,システム障害-Low-02,synthetic_train
TKT-0187,保存処理の設定手順を知りたいです,システム障害,Low,開発,個人,社員,問い合わせフォーム,システム障害-Low-03,synthetic_train
TKT-0188,保存処理について問い合わせます。現在、保存処理の設定手順を知りたいです,システム障害,Low,開発,個人,社員,問い合わせフォーム,システム障害-Low-03,synthetic_train
TKT-0189,夜間バッチの過去データを確認したいです,システム障害,Low,開発,個人,管理者,Slack,システム障害-Low-04,synthetic_train
TKT-0190,夜間バッチについて問い合わせます。現在、夜間バッチの過去データを確認したいです,システム障害,Low,開発,個人,管理者,Slack,システム障害-Low-04,synthetic_train
